"ONTOLOGY","ID","Description","p.adjust","geneID","dbPEC"
"BP","GO:0072507","divalent inorganic cation homeostasis",1.84553057280541e-13,"PIK3CB/TRIM24/STC2/CALM1/TRPC6/F2RL1/PDGFRA/PRKCE/ITPR3/CD4/CAV1/PTK2B/PLCG2/ATP1B1/CALCR/PIK3CG/GRIN2D/KCTD17/JAK2/HMGB1/GNA15/DRD1/MYO5A/GNB1/LRP1/ANK2/DLG4/ABL1/APP/CACNA1A/CCL21/CCR1/CDK5/DISC1/DMD/FYN/FZD9/GNA13/GRM5/HAP1/HTT/LCK/PDPK1/PKD1/PRKACA/PRKCB/PTPN6/PTPRC/RAMP3/S1PR1/SLC8A1/SMAD3/TRPC3/ADCYAP1R1/AVPR1A/CACNA1D/CASR/CCL19/DRD3/DRD5/EDN3/FATE1/GALR1/HCRTR2/HTR1B/HTR2C/LPAR1/LPAR2/MCHR1/MS4A1/OPRL1/PTH1R/RASA3/SLC8A3/TFAP2B/TRPC5/XK","Yes"
"BP","GO:0198738","cell-cell signaling by wnt",1.90193288982476e-13,"CALM1/FZD7/JUP/PTPRU/TCF7L2/CAV1/UBB/HHEX/CSNK2A2/CCNE1/CLTC/PLCB1/PRKAA2/PLCG2/GNAQ/WNT1/GRK5/PLCB2/FZD1/STK11/PSMC6/WNT4/PPP2CA/DVL2/CELSR3/GNB1/LRP1/BTRC/MDFI/SMARCA4/PSMB4/SOX10/ABL1/APP/CAMK2A/CPE/CSNK1A1/CSNK2A1/CSNK2B/CTNND2/DISC1/DVL3/FZD9/GNAO1/GSK3B/HDAC1/ITGA3/MACF1/MLLT3/PFN1/PIAS4/PIN1/PKD1/PSMD4/RBX1/RUNX1/SIX3/SKP1/SMAD3/SMURF2/SRC/TLE1/CELSR1/CSNK1G2/DDB1/FGFR2/FZD5/FZD6/FZD8/G3BP1/GLI1/HBP1/LRP5/MITF/OPRM1/PSMA5/PSMB1/PSMB7/PTPRO/ROR2/SALL1/SENP2/SOX9/STK3/VANGL1/WNT5B/WNT7B","Yes"
"BP","GO:0022604","regulation of cell morphogenesis",1.90193288982476e-13,"CHN1/EFNA1/EZR/TRPC6/CXCR4/SYT1/BMPR2/LINGO1/PTK2B/CRKL/CAPRIN1/PLXNB1/TRAK2/DLG1/CFDP1/STK11/RASA1/LIMS1/NEDD4/DVL2/TNFRSF12A/LRP1/RTN4R/ACTR2/NDEL1/CDC42EP1/DLG4/ABL1/ANXA7/ARHGDIA/CDK5/CFL1/CIB1/DISC1/DPYSL2/DVL3/EPB41/EPS8/FLNA/FYN/GNA12/GNA13/GSK3B/MACF1/MAP1B/MAP2K1/PAK1/PTK2/RAP2A/RDX/SRC/SRF/SYT4/UBE3A/CPNE6/CSF1R/DNM3/EPHA4/GOLGA4/ITGB1BP1/ITSN2/LPAR1/LRP8/MPL/NGEF/PARVB/PLAA/PLXNA3/PTPRO/RIMS2/RND2/ROBO1/RTN4/SEMA4D/SPTA1/TRPC5/TWF2/WASF3/XK","Yes"
"BP","GO:0045088","regulation of innate immune response",2.11449396678364e-13,"TRAF3/TSPAN6/F2RL1/PRKCE/CAV1/CTSK/UBB/TLR8/IRF7/VAV1/PLCG2/SERPING1/TNIP2/XRCC5/TNIP1/TRAFD1/PAK2/TLR1/JAK2/PSMC6/HMGB1/TYRO3/BIRC2/TLR6/BTRC/LBP/TANK/CREBBP/RAB11FIP2/PSMB4/APPL1/BTK/CHUK/FADD/FYN/HRAS/IRAK1/ITCH/JAK1/MAP2K6/MYD88/PAK1/PDPK1/PLSCR1/POLR3F/PRKACA/PSMD4/PTPN6/RAF1/RPS6KA3/SKP1/SRC/SUMO1/TRAF6/TRIM5/UBE2D3/UBQLN1/XRCC6/AP1G1/CADM1/CD1D/CD226/CNOT7/CTSS/FFAR2/IL18RAP/LILRB1/LRP8/MATR3/NCR3/NLRC4/NONO/PIK3C3/PSMA5/PSMB1/PSMB7/PVR/RTN4/STAT1/UBE2N","Yes"
"BP","GO:0007596","blood coagulation",2.11449396678364e-13,"PIK3CB/COL1A2/GNA14/TRPC6/F2RL1/PDGFRA/CD9/PRKCE/ITPR3/CAV1/GATA1/VAV3/VAV1/PLCG2/GNAQ/SERPING1/PRKG1/PIK3CG/ADRA2C/PLAU/RCOR1/ITGA2/JAK2/MERTK/GNA15/TYRO3/FOXA2/PRKAR2A/GNB1/HNF4A/AKAP10/AP3B1/ARRB1/COL3A1/FLNA/FYN/GATA4/GNA12/GNA13/HDAC1/LCK/MAFK/PDPK1/PLG/PLSCR1/PRKACA/PRKCB/PRKCG/PRKCQ/PRTN3/PTPN6/RAF1/SRC/SRF/STXBP1/TLN1/TRPC3/VCL/ADRA2B/CAPZA1/CLIC1/F12/FZD6/H3F3B/MPL/P2RY12/ZFPM2","Yes"
"BP","GO:0046777","protein autophosphorylation",2.77244419636642e-13,"TRIM24/CALM1/DDR2/PDGFRA/CAV1/PTK2B/PRKD1/GRK5/PAK2/STK11/JAK2/TYRO3/MEX3B/ABL1/BCR/CAMK2A/CDK5/CSK/GSK3B/IGF1R/INSR/IRAK1/MARK3/MINK1/NEK2/NTRK1/PAK1/PDPK1/PRKACA/PRKCG/PRKD2/PTK2/PTPRC/RAP2A/SMG1/SRC/ALK/CLK1/CSF1R/CSNK1G2/DAPK1/EIF2AK1/EPHA4/EPHA8/EPHB4/FGFR2/GFRA2/GPNMB/GRK1/MAP3K10/MVP","Yes"
"BP","GO:0031098","stress-activated protein kinase signaling cascade",2.90161582809181e-13,"OPRK1/GADD45G/EZR/MAP3K8/FZD7/F2RL1/UBB/PTK2B/PLCB1/CRKL/MAPK8IP3/MAPK11/TRAF2/TNIP2/DLG1/HMGB1/TNFRSF11A/DVL2/TNFRSF19/TLR6/BTRC/SDCBP/APP/CCL21/CHUK/DVL3/GPS1/HIPK3/HRAS/IGF1R/IRAK1/ITCH/MAP2K1/MAP2K7/MAPK8IP2/MINK1/MYC/NCOR1/PAK1/PRMT1/RAP2A/SIRPA/SKP1/TRAF4/TRAF6/CASR/CCL19/CD27/EDA2R/EPHA4/FZD5/FZD8/LTBR/MAP3K10/PDCD10/PRDX1/ROR2/STK3/UBE2N/WNT7B","Yes"
"BP","GO:0007204","positive regulation of cytosolic calcium ion concentration",2.90161582809181e-13,"CALM1/TRPC6/F2RL1/PDGFRA/PRKCE/ITPR3/CD4/CAV1/PTK2B/PLCG2/CALCR/PIK3CG/GRIN2D/JAK2/HMGB1/GNA15/DRD1/MYO5A/GNB1/LRP1/ANK2/DLG4/ABL1/CACNA1A/CCL21/CCR1/CDK5/DMD/FYN/GNA13/HAP1/HTT/LCK/PDPK1/PKD1/PRKACA/PTPN6/PTPRC/RAMP3/S1PR1/SLC8A1/TRPC3/ADCYAP1R1/AVPR1A/CACNA1D/CCL19/GALR1/HTR2C/LPAR1/LPAR2/MCHR1/MS4A1/OPRL1/PTH1R/RASA3/SLC8A3/TRPC5","Yes"
"MF","GO:0008022","protein C-terminus binding",3.20670286462834e-13,"EZR/FBLN5/SYT1/PTK2B/HSPG2/ATP1B1/MID1IP1/XRCC5/SLC9A3R2/DLG1/TCF4/JAK2/PFKM/PPP2CA/DLG4/SH3GL1/RABAC1/ABL1/CIB1/COIL/CSK/DLG3/EPB41/ERCC3/HRAS/ITGB3BP/LCK/MAD2L1/MAP2K1/MPDZ/NCL/NUMA1/PIAS4/POLR2A/SH3GL2/SHANK1/SRC/SUMO1/TOPBP1/XRCC4/XRCC6/YWHAQ/HPCAL4/LAMA1/MCHR1/MDC1/OPRL1/OPRM1/SREBF2","No"
"BP","GO:0016055","Wnt signaling pathway",3.50867639735462e-13,"CALM1/FZD7/JUP/PTPRU/TCF7L2/CAV1/UBB/HHEX/CSNK2A2/CCNE1/CLTC/PLCB1/PRKAA2/PLCG2/GNAQ/WNT1/GRK5/PLCB2/FZD1/STK11/PSMC6/WNT4/PPP2CA/DVL2/CELSR3/GNB1/LRP1/BTRC/MDFI/SMARCA4/PSMB4/SOX10/ABL1/APP/CAMK2A/CPE/CSNK1A1/CSNK2A1/CSNK2B/CTNND2/DISC1/DVL3/FZD9/GNAO1/GSK3B/HDAC1/ITGA3/MACF1/MLLT3/PFN1/PIAS4/PIN1/PKD1/PSMD4/RBX1/RUNX1/SIX3/SKP1/SMAD3/SMURF2/SRC/TLE1/CELSR1/CSNK1G2/DDB1/FGFR2/FZD5/FZD6/FZD8/G3BP1/GLI1/HBP1/LRP5/MITF/PSMA5/PSMB1/PSMB7/PTPRO/ROR2/SALL1/SENP2/SOX9/STK3/VANGL1/WNT5B/WNT7B","Yes"
"BP","GO:0061564","axon development",4.2381380678214e-13,"PIK3CB/CHN1/EFNA1/EZR/APBB2/CXCR4/EPHA3/BMPR2/LINGO1/VASP/MAPK8IP3/HSP90AA1/TRAK2/LLGL1/SEMA6A/STK11/JAK2/SPTAN1/CELSR3/TNFRSF12A/LRP1/CREB1/RTN4R/NDEL1/SHC1/ABL1/APP/ARHGDIA/CDK5/DISC1/DOK1/DPYSL2/FYN/GSK3B/HDAC6/MACF1/MAP1B/MAP2K1/NTRK1/PAK1/PAX6/PDLIM7/PRKCQ/PTK2/RAB8A/SOS1/SPTBN4/SRC/SRF/STXBP1/VCL/CSF1R/ENAH/EPHA4/EPHA8/ETV1/FGFR2/GFRA1/GFRA2/GOLGA4/GPC1/JAM3/NEFM/NRXN1/PAX2/PLXNA3/PTPRA/PTPRO/RND2/ROBO1/RTN4/SEMA4D/SPTA1/SPTBN2/TNFRSF21/TRPC5/TWF2/USP33/XK","Yes"
"BP","GO:0050817","coagulation",4.34913168150098e-13,"PIK3CB/COL1A2/GNA14/TRPC6/F2RL1/PDGFRA/CD9/PRKCE/ITPR3/CAV1/GATA1/VAV3/VAV1/PLCG2/GNAQ/SERPING1/PRKG1/PIK3CG/ADRA2C/PLAU/RCOR1/ITGA2/JAK2/MERTK/GNA15/TYRO3/FOXA2/PRKAR2A/GNB1/HNF4A/AKAP10/AP3B1/ARRB1/COL3A1/FLNA/FYN/GATA4/GNA12/GNA13/HDAC1/LCK/MAFK/PDPK1/PLG/PLSCR1/PRKACA/PRKCB/PRKCG/PRKCQ/PRTN3/PTPN6/RAF1/SRC/SRF/STXBP1/TLN1/TRPC3/VCL/ADRA2B/CAPZA1/CLIC1/F12/FZD6/H3F3B/MPL/P2RY12/ZFPM2","Yes"
"CC","GO:0098802","plasma membrane receptor complex",4.59114779501917e-13,"TRAF3/IL2RB/CD4/PTK2B/OSMR/CALCR/TRAF2/GRIN2D/TLR1/ITGA2/ITGA9/TOLLIP/TRAF5/BIRC2/SHANK2/DLG4/SDCBP/CD3E/CHRNA4/CHUK/DLG3/EPS8/GRIA4/GRID2/INSR/IRAK1/ITGA3/PTPN6/RAMP3/SHANK1/TRAF6/CD3G/CD6/CNTFR/GABBR1/HTR3A/IL13RA1/IL18R1/IL18RAP/ITGB6/ITGB7","Yes"
"CC","GO:0097060","synaptic membrane",7.43557111450602e-13,"OPRK1/GABRB1/SLC1A6/SYT1/GABRR1/GRASP/STX1A/CRKL/LIN7B/RGS9/ADRA2C/SYT7/DRD1/COL13A1/SHANK2/ANK2/DLG4/PSEN2/ARF1/CLTA/AKAP9/ARRB1/BCR/CAMK2A/CDK5/CHRNA4/DISC1/DMD/EFNB2/GRIA4/GRID2/HOMER1/ITGA3/KPNA2/MINK1/MPDZ/OPRD1/PRKCG/SHANK1/SLC8A1/SNAP25/STXBP1/ANK1/CACNA1D/CHRM4/CHRND/CNTNAP1/DRD3/EPHA4/FXYD6/GABBR1/GABRG2/GAD2/GLRA2/GRM3/GRM7/HTR1B/HTR3A/IL31RA/KCNA2/LIN7C/MPP2/NIPSNAP1/NLGN2/NRXN1/OPRM1/PCDH8/PTPRA/PTPRO/SLC6A3/SLC8A3","No"
"CC","GO:0098978","glutamatergic synapse",7.43557111450602e-13,"SLC1A6/PRKCZ/SYT1/GABRR1/GRASP/STX1A/PTK2B/PLCB1/RGS9/ADRA2C/PFN2/ACTN1/DLG1/PAK2/NEDD4/JAK2/DRD1/MYO5A/RTN4R/DLG4/SH3GL1/GIPC1/ARF1/AKAP9/BCR/CDK5/DLG3/EFNB2/EIF4EBP1/EPS8/FLNA/FYN/FZD9/GRID2/GSK3B/HOMER1/HRAS/KPNA2/NAPA/PFN1/PIN1/RAB8A/RAP1A/SH3GL2/SHANK1/SNAP25/SRC/STX3/STXBP1/SYT4/YES1/DLGAP4/DNM3/DRD3/EPHA4/FXYD6/GRIK3/GRM3/HTR3A/LIN7C/NOS1AP/NRXN1/PCDH8/PTPRO/SPTBN2/WASF3","Yes"
"BP","GO:0007409","axonogenesis",9.81444631162446e-13,"PIK3CB/CHN1/EFNA1/EZR/APBB2/CXCR4/BMPR2/LINGO1/VASP/HSP90AA1/TRAK2/LLGL1/SEMA6A/STK11/SPTAN1/CELSR3/TNFRSF12A/LRP1/CREB1/RTN4R/NDEL1/SHC1/ABL1/APP/ARHGDIA/CDK5/DISC1/DOK1/DPYSL2/FYN/GSK3B/HDAC6/MACF1/MAP1B/MAP2K1/NTRK1/PAK1/PAX6/PDLIM7/PRKCQ/PTK2/RAB8A/SOS1/SPTBN4/SRC/SRF/STXBP1/VCL/CSF1R/ENAH/EPHA4/EPHA8/ETV1/FGFR2/GFRA1/GFRA2/GOLGA4/GPC1/NRXN1/PAX2/PLXNA3/PTPRA/PTPRO/RND2/ROBO1/RTN4/SEMA4D/SPTA1/SPTBN2/TRPC5/TWF2/USP33/XK","Yes"
"BP","GO:0045089","positive regulation of innate immune response",2.05170072035669e-12,"TRAF3/TSPAN6/F2RL1/PRKCE/CAV1/CTSK/UBB/TLR8/IRF7/VAV1/PLCG2/TNIP2/XRCC5/TNIP1/PAK2/TLR1/PSMC6/HMGB1/TYRO3/BIRC2/TLR6/BTRC/LBP/TANK/CREBBP/RAB11FIP2/PSMB4/APPL1/BTK/CHUK/FADD/FYN/HRAS/IRAK1/ITCH/MAP2K6/MYD88/PAK1/PDPK1/PLSCR1/POLR3F/PRKACA/PSMD4/RAF1/RPS6KA3/SKP1/SRC/TRAF6/TRIM5/UBE2D3/UBQLN1/XRCC6/AP1G1/CADM1/CD1D/CD226/CTSS/FFAR2/IL18RAP/MATR3/NCR3/NLRC4/NONO/PIK3C3/PSMA5/PSMB1/PSMB7/PVR/RTN4/UBE2N","Yes"
"CC","GO:0043025","neuronal cell body",3.51511111251401e-12,"OPRK1/MME/AIF1/PRKCZ/ITPR3/UBB/AMFR/BMPR2/ACVRL1/PTK2B/PRKAA2/HSP90AA1/ADRA2C/TRAK2/CKB/CAPN2/MYO5A/LRP1/RTN4R/SHANK2/NDEL1/ENO2/ABL1/AKAP9/APP/CACNA1A/CDK5/CHRNA4/CIB1/CTNND2/DCTN1/DLG3/FLNA/GRIA4/HDAC1/HDAC6/INSR/LSM1/MAP1B/MAPK8IP2/NTRK1/NUMA1/PDPK1/RAB8A/RBM8A/SH3GL2/SOS1/SPTBN4/SST/SYT4/XRN1/CASR/CCR4/CPNE6/EPHA4/FZD5/G3BP1/GRIK3/HTR3A/KCNA2/LPAR1/LRP8/MPL/NCDN/NRXN1/OPRM1/PPP5C/PTPRN/ROR2/RTN4/SLC6A3/SLC8A3/SNCG/SORT1/SPTBN2/TRPC5","Yes"
"BP","GO:0006875","cellular metal ion homeostasis",4.71636285862926e-12,"PIK3CB/STC2/CALM1/TRPC6/F2RL1/PDGFRA/PRKCE/ITPR3/CD4/CAV1/PTK2B/PLCG2/ATP1B1/CALCR/PIK3CG/GRIN2D/KCTD17/JAK2/HMGB1/GNA15/DRD1/MYO5A/GNB1/LRP1/ANK2/DLG4/ARF1/ABL1/APP/CACNA1A/CCL21/CCR1/CDK5/DISC1/DMD/FYN/FZD9/GNA13/GRM5/HAP1/HTT/LCK/MYC/NEDD8/PDPK1/PKD1/PRKACA/PRKCB/PTPN6/PTPRC/RAMP3/S1PR1/SKP1/SLC8A1/SMAD3/TRPC3/ADCYAP1R1/AVPR1A/CACNA1D/CASR/CCL19/DRD3/DRD5/EDN3/FATE1/FTL/GALR1/HCRTR2/HTR1B/HTR2C/LPAR1/LPAR2/MCHR1/MS4A1/OPRL1/PTH1R/RASA3/SLC8A3/TRPC5/XK","Yes"
"BP","GO:0018108","peptidyl-tyrosine phosphorylation",5.03907044044782e-12,"EFNA1/PRKCZ/DDR2/PDGFRA/EPHA3/PRKCE/CD4/CAV1/KITLG/GATA1/PRLR/PTK2B/ERBB3/PAK2/JAK2/CD81/MERTK/TYRO3/PPP2CA/DVL2/NF2/DLG4/SHC1/ABL1/APP/BTK/CD3E/CSK/DLG3/FYN/GRM5/IGF1R/INSR/JAK1/JAK3/LCK/MAP2K1/MAP2K6/MAP2K7/NEK1/NTF3/NTRK1/PTK2/PTPN6/PTPRC/SRC/UNC119/YES1/ALK/CD80/CLK1/CNOT7/CSF1R/DYRK1B/EPHA2/EPHA4/EPHA8/EPHB4/FGFR2/IL3/IL31RA/LRP8/MVP/PTPRJ/ROR2/SEMA4D","Yes"
"BP","GO:0031589","cell-substrate adhesion",5.65438029787952e-12,"PIK3CB/EFNA1/FZD7/FBLN5/PRKCZ/JUP/EPHA3/PRKCE/ACVRL1/PTK2B/CRKL/WNT1/SORBS3/ACTN1/PLAU/PARVG/ITGA2/RASA1/PXN/LIMS1/JAK2/MERTK/TYRO3/WNT4/COL13A1/NF2/TNFRSF12A/LRP1/SPOCK2/ABL1/CCL21/CD3E/CDK5/CIB1/COL3A1/DISC1/FLNA/GSK3B/ITGA3/MACF1/MINK1/NID1/NOTCH1/PDPK1/PKD1/PLG/PTK2/ROCK1/SMAD3/SMAD6/SRC/SRF/TRIP6/VCL/BCL2L11/ITGB1BP1/ITGB4/ITGB7/JAM3/NF1/ONECUT1/PTPRJ/PTPRO","Yes"
"MF","GO:0000987","proximal promoter sequence-specific DNA binding",5.81501845419655e-12,"TRIM24/NCOA2/TCF7L2/FLI1/HHEX/KLF6/SPI1/CLOCK/GATA1/MEIS1/SOX6/IRF7/MTA1/TFCP2/TCF4/PBX1/LMO2/IRF8/CDK9/OTX1/SMAD1/FOXA2/CEBPB/HNF4A/CREB1/CREBBP/SMARCA4/THAP1/EZH2/NFYC/TBP/E4F1/SOX10/CEBPE/CREB3/E2F2/E2F3/HDAC1/HDAC4/HDAC6/MEOX1/MYC/NFIC/NFYA/NOTCH1/PAX6/PROX1/RUNX1/SAFB/SMAD3/SMAD5/SMAD6/SMARCC1/SRF/ZBTB17/CREB3L3/CRX/ETV1/GLI1/MITF/MYOD1/NONO/NR2E3/PAX2/POU2F2/PRDM1/PRMT5/SALL1/SIX1/SIX2/SOX9/SREBF2/STAT1/STAT6/TBPL1/TCF12/TFAP2B/TFE3/TP73/ZBED1/ZNF746","Yes"
"BP","GO:0060627","regulation of vesicle-mediated transport",6.95825720230509e-12,"PIK3CB/IL2RB/EZR/F2RL1/EPHA3/CAV1/SYT1/GRASP/STX1A/STAM/BIN1/PLCG2/PRKD1/PFN2/CHMP2A/ITGA2/HMGB1/SYT7/MERTK/DRD1/RAPGEF4/LRP1/DLG4/SH3GL1/SDCBP/GIPC1/HGS/ARF1/ABL1/APPL1/ARRB1/BCR/CAMK2A/CCL21/CDK5/CHRNA4/CSK/EFNB2/GIT1/GNAI2/GSK3B/HAP1/MAP2K1/NTF3/PDPK1/PRKCB/PRKCG/PRTN3/PTPRC/RAP1A/RDX/ROCK1/SH3GL2/SIRPA/SNX4/SRC/STXBP1/SYT4/UNC119/AP1G1/APOA2/ARHGAP1/CACNA1D/CCL19/CD151/CDK5R2/DRD3/HTR1B/LILRB1/LRSAM1/PTAFR/PTPRJ/RAB31/RAB9A/RIMS2/RNF139/RUFY2/SCFD1/SMPD3/SORL1/TUB","Yes"
"BP","GO:0018212","peptidyl-tyrosine modification",7.1226634535153e-12,"EFNA1/PRKCZ/DDR2/PDGFRA/EPHA3/PRKCE/CD4/CAV1/KITLG/GATA1/PRLR/PTK2B/ERBB3/PAK2/JAK2/CD81/MERTK/TYRO3/PPP2CA/DVL2/NF2/DLG4/SHC1/ABL1/APP/BTK/CD3E/CSK/DLG3/FYN/GRM5/IGF1R/INSR/JAK1/JAK3/LCK/MAP2K1/MAP2K6/MAP2K7/NEK1/NTF3/NTRK1/PTK2/PTPN6/PTPRC/SRC/UNC119/YES1/ALK/CD80/CLK1/CNOT7/CSF1R/DYRK1B/EPHA2/EPHA4/EPHA8/EPHB4/FGFR2/IL3/IL31RA/LRP8/MVP/PTPRJ/ROR2/SEMA4D","Yes"
"BP","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway",1.17381836546312e-11,"OPRK1/HTR1F/NPY1R/GNAI1/FLNA/GNAI2/GNAZ/HTR1D/OPRD1/S1PR1/CASR/DRD3/GABBR1/GPR37/GRIK3/GRM3/GRM4/GRM7/GRM8/HTR1A/HTR1B/LPAR1/MCHR1/OPRL1/OPRM1/P2RY12/PRMT5","No"
"BP","GO:0010975","regulation of neuron projection development",1.17381836546312e-11,"CHN1/EFNA1/TRPC6/CXCR4/EPHA3/SYT1/BMPR2/LINGO1/PTK2B/CRKL/CAPRIN1/PRKD1/MEF2C/TRAK2/FZD1/STK11/NEDD4/DVL2/TNFRSF12A/LRP1/RTN4R/NCK1/ACTR2/NDEL1/DLG4/EZH2/ARF1/ABL1/ARHGDIA/CDK5/CFL1/CIB1/DISC1/DPYSL2/DVL3/EFNB2/FYN/GRID2/GSK3B/ITGA3/MACF1/MAP1B/MAP2K1/MAPK6/MDM2/NME1/NTRK1/PAK1/PTK2/RAP1A/RAP2A/SHANK1/SNAP25/SRF/SYT4/UBE3A/ALK/CPNE6/DNM3/EPHA4/GOLGA4/ITM2C/ITSN2/LPAR1/LRP8/NGEF/PLAA/PLXNA3/PTPRO/RIMS2/RND2/ROBO1/RTN4/SEMA4D/TRPC5/TWF2/UBE2V2/XK","Yes"
"BP","GO:0050851","antigen receptor-mediated signaling pathway",1.18135867827868e-11,"PIK3CB/EZR/CD4/VAV3/PHPT1/CRKL/PLCG2/MEF2C/PAK2/STK11/PSMC6/CD81/BTRC/NCK1/PSMB4/ABL1/BCAR1/BTK/CD3E/CHUK/CSK/EIF2B1/FYN/HRAS/LCK/PAK1/PDPK1/PRKCB/PRKCQ/PRKD2/PSMD4/PTPN6/PTPRC/RUNX1/SKP1/TRAF6/CD226/CD3G/CMTM3/FOXP1/LAT/MS4A1/NFKBIZ/PAG1/PSMA5/PSMB1/PSMB7/PTPRJ/TNFRSF21/UBE2N","Yes"
"BP","GO:0031346","positive regulation of cell projection organization",1.202904579708e-11,"F2RL1/CXCR4/EPHA3/SYT1/BMPR2/PTK2B/CAPRIN1/PRKD1/WNT1/FZD1/ITGA2/STK11/KCTD17/DVL2/TNFRSF12A/LRP1/NCK1/ACTR2/NDEL1/CDC42EP1/DLG4/EZH2/ARF1/ARHGDIA/CCL21/DISC1/DVL3/FYN/HAP1/HDAC4/HRAS/HTT/ITGA3/KAT2A/MACF1/MAP1B/MAP2K1/MAPK6/NME1/NTRK1/PAK1/PFN1/RAP1A/SHANK1/SRC/SRF/SYT4/ALK/CCL19/CPNE6/DNM3/EPHA4/GOLGA4/ITSN2/LPAR1/LRP8/P2RY12/PLAA/RHOQ/RIMS2/RND2/ROBO1/SEMA4D/TRPC5/TWF2/UBE2V2/WASF2","Yes"
"BP","GO:0045785","positive regulation of cell adhesion",1.202904579708e-11,"AIF1/MAP3K8/PODXL/CD28/PRKCZ/JUP/PTPRU/PRKCE/CD4/CAV1/VAV3/PTK2B/VAV1/CRKL/PAK2/ITGA2/LIMS1/JAK2/HMGB1/CD81/WNT4/FOXA2/NCK1/TNFRSF13C/SPOCK2/ABL1/AP3B1/CCL21/CD3E/CIB1/CSK/DISC1/EFNB2/FADD/FLNA/FYN/GSK3B/IRAK1/ITGA3/LCK/NID1/PAK1/PDPK1/PRKCQ/PRKD2/PTPN6/PTPRC/ROCK1/RUNX1/SMAD3/SRC/STX3/TRAF6/YES1/CCL19/CD1D/CD27/CD6/CD80/IL7R/ITGB1BP1/LILRB1/LILRB2/NFKBIZ/P2RY12/PTAFR/PTPRJ/SPTA1/TFE3/TNFSF14","Yes"
"BP","GO:0060359","response to ammonium ion",1.32770547972166e-11,"OPRK1/GABRB1/AIF1/CXCR4/PRKCE/PTK2B/PLCB1/CRKL/GNAQ/GNA15/DRD1/GNB1/ABL1/CASP7/CDK5/CHRNA4/FADD/GNAI2/GNAO1/HOMER1/MDM2/PRKCG/UBE3A/CHRM4/DRD3/DRD5/GABRG2/HTR1B/HTR3A/OPRM1/PEA15/PPP1R9B/PPP5C/PTAFR/SLC6A3/SMPD1","Yes"
"CC","GO:0031252","cell leading edge",1.41500784906848e-11,"EZR/AIF1/PODXL/ARPC5/PRKCZ/APBB2/CXCR4/KITLG/PTK2B/VASP/ACTN1/PLXND1/RASA1/PXN/SNX1/NF2/MYO5A/TNFRSF12A/ACTR2/NDEL1/ARF1/ABL1/AMPH/APP/APPL1/ARPC3/BCAR1/CDK5/CFL1/CIB1/EPS8/HDAC6/INSR/LMO4/MACF1/NME1/OPRD1/PAK1/PDLIM7/PTK2/RDX/ROCK1/SNX2/SRC/STX3/TLN1/TUBG1/ANK1/ENAH/EPHA2/GABRG2/GBF1/INPP5K/ITGB1BP1/ITGB4/KCNA2/MPP2/OPRM1/PARVB/PPP1R9B/PTPRJ/PTPRO/S100A11/SNX5/TWF2/WASF2/WASF3","Yes"
"BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway",1.47667783449792e-11,"PIK3CB/EZR/CALM1/ARPC5/PRKCE/CD4/VAV3/PHPT1/VAV1/CRKL/PLCG2/MEF2C/HSP90AA1/PAK2/STK11/PSMC6/CD81/BTRC/NCK1/ACTR2/WIPF2/CREBBP/PSMB4/SHC1/ABL1/APPL1/ARPC3/BCAR1/BTK/CD3E/CHUK/CSK/EIF2B1/FYN/HRAS/LCK/MAP2K7/PAK1/PDPK1/PLSCR1/PRKACA/PRKCB/PRKCQ/PRKD2/PSMD4/PTK2/PTPN6/PTPRC/RAF1/RAP1A/RUNX1/SKP1/SOS1/SRC/TRAF6/YES1/CD226/CD3G/CMTM3/FFAR2/FOXP1/LAT/LILRB1/LILRB2/MS4A1/NCR3/NFKBIZ/PAG1/PSMA5/PSMB1/PSMB7/PTPRJ/TNFRSF21/UBE2N/WASF2","Yes"
"CC","GO:0098797","plasma membrane protein complex",1.83844337908833e-11,"TRAF3/IL2RB/JUP/CD4/STX1A/CLTC/PTK2B/HSPG2/ATP1B1/OSMR/CALCR/TRAF2/DLG1/GRIN2D/TLR1/ITGA2/C5/HMGB1/GNA15/ITGA9/TOLLIP/COL13A1/TRAF5/GNB1/LRP1/BIRC2/SHANK2/DLG4/SDCBP/TRADD/SHC1/CLTA/AKAP9/CACNA1A/CD3E/CHRNA4/CHUK/DLG3/DMD/EPS8/FADD/GRIA4/GRID2/IGF1R/INSR/IRAK1/ITGA3/NCF4/PTPN6/RAMP3/SHANK1/SNAP25/SUMO1/TRAF6/ABCC9/CACNA1D/CD3G/CD6/CNTFR/CNTNAP1/FZD8/GABBR1/HTR3A/IL13RA1/IL18R1/IL18RAP/ITGB6/ITGB7/KCNA2/KCNQ1/LIN7C/LRP5/NOS1AP/SLC6A3","Yes"
